sp,period,habitat,evolR,FAD,LAD,disO2ageMinHi,disO2ageMinLo,disO2ageMaxHi,disO2ageMaxLo,pcShallageMin,pcShallageMax,CO2ageMinHi,CO2ageMinLo,CO2ageMaxHi,CO2ageMaxLo,O2ageMinHi,O2ageMinLo,O2ageMaxHi,O2ageMaxLo,subFluxageMinHi,subFluxageMinLo,subFluxageMaxHi,subFluxageMaxLo,SLageMinHi,SLageMinLo,SLageMaxHi,SLageMaxLo,SSTageMinHi,SSTageMinLo,SSTageMaxHi,SSTageMaxLo
Styloichthys_changae,Lower_Devonian_(late_Lochkovian),marine ,5.115,413.6,410.8,277.1047357,222.4845969,277.8234105,219.6098701,21.88098463,20.82763455,2241.509396,1084.608449,2212.977591,1238.120797,19.77612125,13.28358369,21.94029854,16.04477815,1.999999921,1.941666832,1.999999921,1.941666832,202.439027,175.0000033,167.6829257,134.1463412,33.0487802,30.24390335,36.34146376,33.0487802
Eoactinistia_foreyi,Lower_Devonian_(mid-Late_Pragian),,2.061,409.7333333,407.6,273.5113066,216.016441,257.7002131,200.9240223,20.75136596,20.87551344,2212.977591,1264.840003,2166.229383,1243.419118,22.23880712,16.56716391,21.86567281,16.8656725,1.999999921,1.941666832,1.999999921,1.941666832,157.5221405,130.8849544,158.1416001,129.6460353,30.85365939,28.53658457,29.26829461,27.0731738
Euporosteus_yunnanensis,Lower_Devonian_(late_Pragian),marine ,1.5351,408.6666667,407.6,20.84699473,20.87551344,256.6872386,196.1934307,20.79918126,20.89480821,2166.229383,1243.419118,2175.499204,1176.274893,21.86567281,16.8656725,22.08955283,16.41791246,1.999999921,1.941666832,1.740663213,1.653527146,158.1416001,129.6460353,157.2695004,128.1028308,29.26829461,27.0731738,28.78048792,26.70731645
Euporosteus_eifeliensis,Middle_Devonian_(late_Givetian),,1.4329,384.3666667,382.7,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,1727.488465,505.027373,1787.521587,513.7276423,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Gavinia_syntrips,Middle_Devonian_(uppermost_Givetian),lacustrine ,1.4501,384.3666667,382.7,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,1727.488465,505.027373,1787.521587,513.7276423,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Miguashaia_grossi,Middle_Devonian_(late_Givetian),,1.587,384.3666667,382.7,205.9548285,156.3654959,196.6119183,147.0225857,22.99863399,23.14207624,1727.488465,505.027373,1787.521587,513.7276423,18.73134404,12.98507511,18.05970115,12.31343506,1.866666057,1.833333227,1.841666753,1.783333029,270.2654806,221.3274434,265.9292165,217.6106152,28.90244192,25.85366171,34.63414498,28.53658457
Diplocercides_heiligenstockiensis,Upper_Devonian_(earliest_Frasnian),lagoonal ,1.0269,382.7,379.2,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,1787.521587,513.7276423,1734.880949,436.7786359,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Namugawi_wirngarri,Upper_Devonian_(early_Frasnian),marine ,2.3015,382.7,379.2,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,1787.521587,513.7276423,1734.880949,436.7786359,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Holopterygius_nudus,Upper_Devonian_(early_Frasnian),lagoonal ,5.7879,382.7,379.2,196.6119183,147.0225857,175.7700186,129.0554402,23.14207624,23.04644746,1787.521587,513.7276423,1734.880949,436.7786359,18.05970115,12.31343506,16.7164182,10.14924923,1.841666753,1.783333029,1.766666614,1.699999682,265.9292165,217.6106152,260.353986,213.274351,34.63414498,28.53658457,33.29268355,26.82927045
Miguashaia_bureaui,Upper_Devonian_(middle_Frasnian),estuarine,1.587,379.2,375.7,175.7700186,129.0554402,163.5523541,118.9938552,23.04644746,22.80737643,1734.880949,436.7786359,1545.958263,365.0663077,16.7164182,10.14924923,18.65671832,12.68656937,1.766666614,1.699999682,1.816666812,1.766666614,260.353986,213.274351,256.6371814,210.7964656,33.29268355,26.82927045,27.19511384,22.92682155
